SEIFA,YEAR,GEO_TYPE,GEO_CD,GEO_NM,URP,SCORE,AUS_RANK,AUS_DECILE,AUS_PERCENTILE,STATE,STATE_RANK,STATE_DECILE,STATE_PERCENTILE,MIN_SA1_SCORE_AREA,MAX_SA1_SCORE_AREA,URP_PERCENT_WO_SA1_SCORE,USE_WITH_CAUTION,CROSSES_STATE
IRSAD,2016,SA2,310011273,Forest Lake - Doolandella,27709,1013,1242,6,57,QLD,310,7,61,931,1119,0,,
IRSAD,2016,SA2,310011274,Inala - Richlands,18010,798,35,1,2,QLD,12,1,3,572,954,0.000388673,,
IRSAD,2016,SA2,310011275,Oxley (Qld),7815,1051,1582,8,73,QLD,399,8,78,975,1102,0.002815099,,
IRSAD,2016,SA2,310011276,Wacol,5816,793,32,1,2,QLD,10,1,2,689,944,0.523899587,,
IRSAD,2016,SA2,310021277,Boonah,11885,963,767,4,36,QLD,196,4,39,843,1017,0,,
IRSAD,2016,SA2,310021278,Esk,5158,908,284,2,13,QLD,78,2,16,819,988,0,,
IRSAD,2016,SA2,310021280,Lockyer Valley - East,19814,917,349,2,16,QLD,97,2,19,797,1013,0,,
IRSAD,2016,SA2,310021281,Lowood,14052,918,351,2,17,QLD,98,2,20,775,1016,0,,
IRSAD,2016,SA2,310021282,Rosewood,11806,952,650,3,30,QLD,173,4,34,804,1019,0.044214806,,
IRSAD,2016,SA2,310031283,Brassall,10898,928,427,2,20,QLD,119,3,24,811,1075,0.00027528,,
IRSAD,2016,SA2,310031284,Bundamba,8917,902,243,2,12,QLD,65,2,13,737,960,0,,
IRSAD,2016,SA2,310031285,Churchill - Yamanto,6768,959,715,4,33,QLD,184,4,36,855,1031,0,,
IRSAD,2016,SA2,310031286,Ipswich - Central,6558,933,478,3,22,QLD,134,3,27,659,1037,0.00137237,,
IRSAD,2016,SA2,310031287,Ipswich - East,17894,906,264,2,13,QLD,72,2,15,736,1002,0,,
IRSAD,2016,SA2,310031288,Ipswich - North,4644,1033,1404,7,65,QLD,358,7,70,960,1102,0,,
IRSAD,2016,SA2,310031289,Karalee - Barellan Point,5511,1066,1695,8,78,QLD,429,9,84,1017,1156,0,,
IRSAD,2016,SA2,310031290,Karana Downs,6089,1087,1856,9,85,QLD,461,9,90,1009,1144,0,,
IRSAD,2016,SA2,310031291,Leichhardt - One Mile,7654,843,62,1,3,QLD,19,1,4,742,1013,0.000522603,,
IRSAD,2016,SA2,310031292,North Ipswich - Tivoli,6394,905,258,2,12,QLD,69,2,14,797,973,0,,
IRSAD,2016,SA2,310031293,Raceview,15176,948,612,3,29,QLD,162,4,32,796,1083,0.00112019,,
